Date,CAPE,ECY
2007-01-01,27.2075366568071,0.0135259718821528
2007-02-01,27.3151814135166,0.0140063462140005
2007-03-01,26.2276055546509,0.0177969290207276
2007-04-01,26.9762683141891,0.0159747216693736
2007-05-01,27.5484904518513,0.0152939492475641
2007-06-01,27.4182627404106,0.0120369508715578
2007-07-01,27.4100881672043,0.0128937221575726
2007-08-01,26.1486071893123,0.0175737492485138
2007-09-01,26.7257430476969,0.0182753634504339
2007-10-01,27.320648130462,0.0173255787102558
2007-11-01,25.7290535794984,0.024061140157559
2007-12-01,25.9555101052402,0.0242803623121104
2008-01-01,24.0223177608368,0.0312992074540856
2008-02-01,23.4952634018118,0.0323403749780854
2008-03-01,22.6068108422493,0.0370096816865717
2008-04-01,23.3560406432016,0.0343223553444703
2008-05-01,23.6964321166232,0.032380178781063
2008-06-01,22.4168128022819,0.0334948862553059
2008-07-01,20.9072064626616,0.0380290824635468
2008-08-01,21.4016173600479,0.0375860080220244
2008-09-01,20.3627339460975,0.0417014406140254
2008-10-01,16.3873565487898,0.0511189777366728
2008-11-01,15.2596594057046,0.0564421097656048
2008-12-01,15.3760807474238,0.0660421291145351
2009-01-01,15.1746519368797,0.0661007849143006
2009-02-01,14.1221818019189,0.0678959919812928
2009-03-01,13.3236676568639,0.0725776409549966
2009-04-01,14.9818664530393,0.0626831639484654
2009-05-01,15.9963557552632,0.0551458268811751
2009-06-01,16.3841828162153,0.0502435973614632
2009-07-01,16.6946208169956,0.0502375648169609
2009-08-01,18.0940698015761,0.0452887213360823
2009-09-01,18.8319022648401,0.04459761953591
2009-10-01,19.3580084434868,0.0431700977801865
2009-11-01,19.8127610799661,0.0418960147094019
2009-12-01,20.3223765002165,0.038549596504991
2010-01-01,20.5278598014544,0.0367026787502513
2010-02-01,19.9205393066004,0.0380079440736461
2010-03-01,21.0046012097154,0.0345957081505271
2010-04-01,21.8048455996252,0.0317664045761175
2010-05-01,20.4800686384234,0.0389928479151877
2010-06-01,19.7420398537395,0.0423821948869016
2010-07-01,19.6686604707177,0.044255547690111
2010-08-01,19.7702991743586,0.0472353935458633
2010-09-01,20.381395233204,0.0457466955342799
2010-10-01,21.2401276517594,0.0448138028873391
2010-11-01,21.7007238277606,0.041598763705561
2010-12-01,22.3963797730442,0.0351019004482638
2011-01-01,22.978299430555,0.0328125394488806
2011-02-01,23.4898287032985,0.0300599455536531
2011-03-01,22.8993364301436,0.0336184151466104
2011-04-01,23.1439294472859,0.0329082239694833
2011-05-01,23.0594915060953,0.0359849825227146
2011-06-01,22.100831286611,0.0392835539848696
2011-07-01,22.6109817011566,0.0386415041246109
2011-08-01,20.0498527216605,0.0515730265272626
2011-09-01,19.6981145688777,0.0553583545514406
2011-10-01,20.1558247866887,0.0526393162400521
2011-11-01,20.3452467976458,0.0536640488217246
2011-12-01,20.5235754994317,0.0536890495545471
2012-01-01,21.2130080918035,0.0524237161229664
2012-02-01,21.7974359637175,0.0512057600956493
2012-03-01,22.0539439729047,0.0488728193026747
2012-04-01,21.7792469068249,0.0503822201228445
2012-05-01,20.9414674197435,0.0545987544394901
2012-06-01,20.5475040868561,0.0571069644426978
2012-07-01,20.9993412933806,0.056678853537402
2012-08-01,21.4104284534429,0.0544923442645206
2012-09-01,21.7836903017277,0.0535782901870353
2012-10-01,21.5771096545288,0.0535082223728747
2012-11-01,20.8981620595737,0.0555273776575106
2012-12-01,21.2382611398456,0.0540111379717348
2013-01-01,21.9004754138218,0.0505379382364351
2013-02-01,22.0527243368619,0.0495719749669617
2013-03-01,22.4192071146026,0.048684797595349
2013-04-01,22.5956553961056,0.0504525471882447
2013-05-01,23.4118417818424,0.0475590954888848
2013-06-01,22.9253331739153,0.0448994526567772
2013-07-01,23.4924601771596,0.0409753287319043
2013-08-01,23.3566490949161,0.0393568901358091
2013-09-01,23.4422871679606,0.0382872516907264
2013-10-01,23.8347378876314,0.0393315132308556
2013-11-01,24.6420770924121,0.0370246860121494
2013-12-01,24.8618692964619,0.0349681733050411
2014-01-01,24.8596090936327,0.0352532757884677
2014-02-01,24.5909308778941,0.0370193970232191
2014-03-01,24.9560391539654,0.0363239881840611
